#Hi, Renbin.
#
#This is the focal surface for the Sloan telescope. The field heights
#are real heights for 5300A, offsets for other wavelengths. Focus
#offset is offset from the 5300  focal plane.  ll dimensiions
#are in millimeters
#
#--jim
#
#Average focus for all colors at each radius
#Field   lambda  focal     field        focal    focus   RMS image
#angle           surface   height      surface   offset  size (design)
#(arcmin)  (A)    (mm)        (mm)        (mm)     (mm)    (mm)
  0.00   5300      0.008       0.0000    0.000    0.000   0.028
 30.00   5300     -0.128    -108.8409   -0.135    0.000   0.024
 45.00   5300     -0.412    -163.3554   -0.419    0.000   0.021
 60.00   5300     -0.966    -217.9004   -0.974    0.000   0.022
 70.00   5300     -1.526    -254.2931   -1.534    0.000   0.024
 80.00   5300     -2.254    -290.7737   -2.262    0.000   0.024
 90.00   5300     -3.180    -327.4412   -3.187   -0.012   0.025
  0.00   4000      0.008       0.0000    0.000   -0.131   0.032
 30.00   4000     -0.128       0.0042   -0.135   -0.077   0.026
 45.00   4000     -0.412       0.0046   -0.419   -0.010   0.023
 60.00   4000     -0.966       0.0046   -0.974    0.080   0.028
 70.00   4000     -1.526       0.0042   -1.534    0.153   0.037
 80.00   4000     -2.254       0.0022   -2.262    0.236   0.049
 90.00   4000     -3.180      -0.0034   -3.187    0.316   0.061
  0.00   9000      0.008       0.0000    0.000    0.127   0.036
 30.00   9000     -0.128      -0.0040   -0.135    0.074   0.029
 45.00   9000     -0.412      -0.0044   -0.419    0.009   0.024
 60.00   9000     -0.966      -0.0045   -0.974   -0.078   0.032
 70.00   9000     -1.526      -0.0041   -1.534   -0.149   0.041
 80.00   9000     -2.254      -0.0021   -2.262   -0.230   0.051
 90.00   9000     -3.180       0.0117   -3.187   -0.292   0.064
  0.00   4600      0.008       0.0000    0.000   -0.056   0.028
 30.00   4600     -0.128       0.0018   -0.135   -0.033   0.024
 45.00   4600     -0.412       0.0020   -0.419   -0.004   0.021
 60.00   4600     -0.966       0.0020   -0.974    0.035   0.023
 70.00   4600     -1.526       0.0018   -1.534    0.066   0.026
 80.00   4600     -2.254       0.0010   -2.262    0.102   0.030
 90.00   4600     -3.180      -0.0031   -3.187    0.126   0.033
  0.00   6500      0.008       0.0000    0.000    0.060   0.030 et=0.031
 30.00   6500     -0.128      -0.0019   -0.135    0.035   0.026 et=0.026
 45.00   6500     -0.412      -0.0021   -0.419    0.005   0.022 et=0.023
 60.00   6500     -0.966      -0.0021   -0.974   -0.037   0.025 et=0.027
 70.00   6500     -1.526      -0.0019   -1.534   -0.070   0.030 et=0.033
 80.00   6500     -2.254      -0.0010   -2.262   -0.108   0.033 et=0.039
 90.00   6500     -3.180       0.0059   -3.187   -0.137   0.038 et=0.048

